codigo_1,codigo_2,municipio,score_nombre,score_direccion,telefono_igual,decision
04-11-0012-46,04-11-0474-46,ACATENANGO,1.0,0.2326,False,pendiente_revision_manual
04-11-0014-46,04-11-0015-46,ACATENANGO,1.0,1.0,True,pendiente_revision_manual
22-04-0030-46,22-04-2086-46,AGUA BLANCA,1.0,0.3448,False,pendiente_revision_manual
22-04-0035-46,22-04-0038-46,AGUA BLANCA,1.0,1.0,True,pendiente_revision_manual
22-04-0035-46,22-04-0047-46,AGUA BLANCA,1.0,1.0,False,pendiente_revision_manual
22-04-0038-46,22-04-0047-46,AGUA BLANCA,1.0,1.0,False,pendiente_revision_manual
22-04-0057-46,22-04-0058-46,AGUA BLANCA,1.0,1.0,True,pendiente_revision_manual
22-04-0057-46,22-04-0059-46,AGUA BLANCA,1.0,1.0,True,pendiente_revision_manual
22-04-0058-46,22-04-0059-46,AGUA BLANCA,1.0,1.0,True,pendiente_revision_manual
13-27-0079-46,13-27-0083-46,AGUACATAN,1.0,0.3871,False,pendiente_revision_manual
13-27-0068-46,13-27-7032-46,AGUACATAN,1.0,1.0,True,pendiente_revision_manual
13-27-0090-46,13-27-0091-46,AGUACATAN,1.0,0.6,False,pendiente_revision_manual
13-27-0066-46,13-27-0080-46,AGUACATAN,1.0,1.0,True,pendiente_revision_manual
13-27-0066-46,13-27-0085-46,AGUACATAN,1.0,1.0,True,pendiente_revision_manual
13-27-0066-46,13-27-0088-46,AGUACATAN,1.0,0.9756,True,pendiente_revision_manual
13-27-0066-46,13-27-1511-46,AGUACATAN,1.0,0.7843,False,pendiente_revision_manual
13-27-0066-46,13-27-6878-46,AGUACATAN,1.0,1.0,False,pendiente_revision_manual
13-27-0080-46,13-27-0085-46,AGUACATAN,1.0,1.0,True,pendiente_revision_manual
13-27-0080-46,13-27-0088-46,AGUACATAN,1.0,0.9756,True,pendiente_revision_manual
13-27-0080-46,13-27-1511-46,AGUACATAN,1.0,0.7843,False,pendiente_revision_manual
13-27-0080-46,13-27-6878-46,AGUACATAN,1.0,1.0,False,pendiente_revision_manual
13-27-0085-46,13-27-0088-46,AGUACATAN,1.0,0.9756,True,pendiente_revision_manual
13-27-0085-46,13-27-1511-46,AGUACATAN,1.0,0.7843,False,pendiente_revision_manual
13-27-0085-46,13-27-6878-46,AGUACATAN,1.0,1.0,False,pendiente_revision_manual
13-27-0088-46,13-27-1511-46,AGUACATAN,1.0,0.8,False,pendiente_revision_manual
