departamento_codigo,departamento,municipio_indice,municipio_codigo,municipio,fecha_extraccion,fuente_url
16,ALTA VERAPAZ,0,TODOS,TODOS,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/
16,ALTA VERAPAZ,1,14,CHAHAL,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/
16,ALTA VERAPAZ,2,13,CHISEC,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/
16,ALTA VERAPAZ,3,01,COBAN,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/
16,ALTA VERAPAZ,4,15,FRAY BARTOLOME DE LAS CASAS,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/
16,ALTA VERAPAZ,5,16,LA TINTA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/
16,ALTA VERAPAZ,6,11,LANQUIN,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/
16,ALTA VERAPAZ,7,07,PANZOS,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/
16,ALTA VERAPAZ,8,17,RAXRUHA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/
16,ALTA VERAPAZ,9,03,SAN CRISTOBAL VERAPAZ,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/
16,ALTA VERAPAZ,10,10,SAN JUAN CHAMELCO,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/
16,ALTA VERAPAZ,11,06,SAN MIGUEL TUCURU,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/
16,ALTA VERAPAZ,12,09,SAN PEDRO CARCHA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/
16,ALTA VERAPAZ,13,02,SANTA CRUZ VERAPAZ,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/
16,ALTA VERAPAZ,14,12,SANTA MARIA CAHABON,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/
16,ALTA VERAPAZ,15,08,SENAHU,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/
