codigo,distrito,departamento,municipio,establecimiento,direccion,telefono,supervisor,director,nivel,sector,area,status,modalidad,jornada,plan,departamental,fecha_extraccion,fuente_url,nivel_consulta,sector_consulta,plan_consulta,modalidad_consulta,departamento_consulta,departamento_consulta_codigo,municipio_consulta
03-01-0052-46,03-01-0194,SACATEPEQUEZ,ANTIGUA GUATEMALA,ESCUELA NACIONAL DE CIENCIAS COMERCIALES SECCION NOCTURNA,5A. CALLE ORIENTE NO.17,78328708,JUAN DEMETRIO SICAJOL PÉREZ,JULIO ABDIEL HERNÁNDEZ GARCÍA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SACATEPÉQUEZ,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,SACATEPEQUEZ,03,
03-01-0053-46,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,INSTITUTO INDIGENA NUESTRA SEÑORA DEL SOCORRO,PLAZUELA BELEN,78320322,ZOILA ESTHELA JONFE OROZCO,MARIA CONSUELO QUINTANILLA MEZA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,SACATEPEQUEZ,03,
03-01-0054-46,,SACATEPEQUEZ,ANTIGUA GUATEMALA,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO 'MERCANTIL ANTIGUEÑO',6A. CALLE ORIENTE N-4,,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,SACATEPEQUEZ,03,
03-01-0055-46,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,LICEO ROSALES,CALLE DE LOS NAZARENOS NO. 16,78325538,ZOILA ESTHELA JONFE OROZCO,LYDIA ABELINA ROSALES CHÁVEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,SACATEPEQUEZ,03,
03-01-0056-46,03-01-0193,SACATEPEQUEZ,ANTIGUA GUATEMALA,LICEO ANTIGUEÑO,3A. CALLE ORIENTE NO.11,78320670,JUAN DEMETRIO SICAJOL PÉREZ,JOSUÉ NATHÁN SOLÓRZANO BERDÚO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,SACATEPEQUEZ,03,
03-01-0057-46,03-01-0194,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO LA SALLE,4A. AVENIDA NORTE N-26,78320556,JUAN DEMETRIO SICAJOL PÉREZ,MARCOS MANUEL HERNÁNDEZ PÉREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,SACATEPEQUEZ,03,
03-01-0058-46,03-01-0194,SACATEPEQUEZ,ANTIGUA GUATEMALA,INSTITUTO NORMAL P/SEÑORITAS OLIMPIA LEAL,5A. CALLE ORIENTE N-15,45670690,JUAN DEMETRIO SICAJOL PÉREZ,SONIA JUDITH GALVEZ GARCIA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,SACATEPEQUEZ,03,
03-01-0059-46,03-01-0193,SACATEPEQUEZ,ANTIGUA GUATEMALA,INSTITUTO NORMAL PARA VARONES ANTONIO LARRAZABAL,FINCA LA PRIMAVERA SALIDA A SANTA MARIA DE JESUS KM.2,55943366,JUAN DEMETRIO SICAJOL PÉREZ,MANUEL ANTONIO ESTRADA ORTIZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,SACATEPEQUEZ,03,
03-01-0064-46,03-012,SACATEPEQUEZ,ANTIGUA GUATEMALA,INSTITUTO PRIVADO P/SEÑORTIAS DE EDUCACION DIVERSIFICADA COLEGIO BOSTON,1A. AVENIDA NORTE N-10,78321617,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,SACATEPEQUEZ,03,
03-01-0065-46,03-009,SACATEPEQUEZ,ANTIGUA GUATEMALA,INSTITUTO PRIVADO P/SEÑORITAS DE EDUCACION DIVERSIFICADA COLEGIO MARTIN,3A. CALLE PONIENTE N-19 A,78325878,AURA MARINA LORENZO SAGCHE,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,SACATEPEQUEZ,03,
03-01-0066-46,03-001,SACATEPEQUEZ,ANTIGUA GUATEMALA,INSTITUTO TECNICO DIVERSIFICADO PARA SECRETARIADO Y OFICINISTA CON ORIENTACION JURIDICA Y BACHILLERATO EN TURISMO Y HOTELERIA,KM. 2 SALIDA A STA. MARIA DE JESUS FCA. LA PRIMAVERA,78320244,JUAN DEMETRIO SICAJOL PEREZ,---,DIVERSIFICADO,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,SACATEPEQUEZ,03,
03-01-0075-46,03-01-0193,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO MUNDO VERDE,2A. AVENIDA SUR NO. 46,78320315,JUAN DEMETRIO SICAJOL PÉREZ,MANUEL ANTONIO ESTRADA ORTIZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,SACATEPEQUEZ,03,
