codigo,distrito,departamento,municipio,establecimiento,direccion,telefono,supervisor,director,nivel,sector,area,status,modalidad,jornada,plan,departamental,fecha_extraccion,fuente_url,nivel_consulta,sector_consulta,plan_consulta,modalidad_consulta,departamento_consulta,departamento_consulta_codigo,municipio_consulta
11-01-0027-46,11-01-0518,RETALHULEU,RETALHULEU,"CENTRO EDUCATIVO ""JUAN PABLO II""","7A. CALLE 4-47, ZONA 1",77710490,ROSELVA SOFIA OVALLE BARRIOS,PEDRO EDUARDO CHAVEZ ESCOBAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,RETALHULEU,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,RETALHULEU,11,
11-01-0074-46,11-01-0518,RETALHULEU,RETALHULEU,COLEGIO PARTICULAR MIXTO D ANTONI,2A CALLE 3-02 ZONA 5 COLONIA MARIA TERESA,57457838,ROSELVA SOFIA OVALLE BARRIOS,LUDIM CELESTINA MÉNDEZ PÚ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,RETALHULEU,11,
11-01-0076-46,11-01-0513,RETALHULEU,RETALHULEU,INSTITUTO OFICIAL DIVERSIFICADO CON ORIENTACION EN COMPUTACION,1A AVE. 4-08 ZONA 2,77712637,JULIO CESAR HERRERA ROLDAN,CARLOS HUMBERTO SOLOGAISTOA MONTERROSO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),RETALHULEU,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,RETALHULEU,11,
11-01-0077-46,,RETALHULEU,RETALHULEU,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA 'TECNICO INDUSTRIAL RETALTECO',FINAL CALZADA LAS PALMAS ZONA 6,,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,RETALHULEU,11,
11-01-0078-46,11-01-0517,RETALHULEU,RETALHULEU,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA LICEO RETALTECO,3A AVE. 6-49 ZONA 1,77716637,ALBA YADIRA MONTEJOS MARTINEZ DE ESPINOZA,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),RETALHULEU,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,RETALHULEU,11,
11-01-0079-46,11-017,RETALHULEU,RETALHULEU,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA LICEO SECRETARIADO BILINGUE LISBI,11 CALLE 5-01 ZONA 2,77712312,MIGUEL ANGEL ARMAS ROCHA,ERIKA CASTILLO DE ALVAREZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,RETALHULEU,11,
11-01-0080-46,11-01-0518,RETALHULEU,RETALHULEU,COLEGIO MIXTO RETALHULEU,6A AVE. 3-40 ZONA 1,77710086,ROSELVA SOFIA OVALLE BARRIOS,JULIO CÉSAR HERRERA ROLDAN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),RETALHULEU,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,RETALHULEU,11,
11-01-0081-46,11-01-0516,RETALHULEU,RETALHULEU,INSTITUTO NORMAL MIXTO CARLOS DUBON,3A CALLE 6-49 ZONA 4,56334519,MARILYN ISABEL INESTROZA DURÓN,SERGIO RAMÓN LÓPEZ SOLÍS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,RETALHULEU,11,
11-01-0082-46,11-01-0516,RETALHULEU,RETALHULEU,INSTITUTO NACIONAL MIXTO NOCTURNO DE EDUCACION MEDIA,3A CALLE 6-49 ZONA 4,53494788,MARILYN ISABEL INESTROZA DURÓN,JUAN DE DIOS RODAS HERNÁNDEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),RETALHULEU,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,RETALHULEU,11,
11-01-0084-46,11-01-0518,RETALHULEU,RETALHULEU,"CENTRO EDUCATIVO ""JUAN PABLO II""","7A. CALLE 4-47, ZONA 1",77710490,ROSELVA SOFIA OVALLE BARRIOS,PEDRO EDUARDO CHAVEZ ESCOBAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),RETALHULEU,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,RETALHULEU,11,
