codigo,distrito,departamento,municipio,establecimiento,direccion,telefono,supervisor,director,nivel,sector,area,status,modalidad,jornada,plan,departamental,fecha_extraccion,fuente_url,nivel_consulta,sector_consulta,plan_consulta,modalidad_consulta,departamento_consulta,departamento_consulta_codigo,municipio_consulta
14-01-0077-46,14-01-0798,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO ADOLFO V HALL,"KILOMETRO 161 ENTRADA A SANTA CRUZ DEL QUICHE, ANTIGUA ZONA MILITAR",77551548,JOSÉ OSCAR TIPÁZ VELÁSQUEZ,ARAM ALBERT JORDÁN SANDOVAL,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,QUICHE,14,
14-01-0079-46,14-01-0798,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO EVANGELICO METODISTA UTATLAN,"4A CALLE Y 6A-12, ZONA 5",77551551,JOSÉ OSCAR TIPÁZ VELÁSQUEZ,LUIS HUMBERTO ECHEVERRÍA GIL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),QUICHÉ,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,QUICHE,14,
14-01-0080-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,LICEO MIXTO 'QUICHE',2AV. 6-27 ZONA 5,77551705,JORGE HUMBERTO MOTTA CANO,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),QUICHÉ,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,QUICHE,14,
14-01-0085-46,14-01-0798,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO NORMAL MIXTO JUAN DE LEON,12 CALLE 0-36 ZONA 5,77553814,JOSÉ OSCAR TIPÁZ VELÁSQUEZ,MIRIAM MARCELINA ALVAREZ GRIJALVA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,QUICHE,14,
14-01-0090-46,14-01-0801,QUICHE,SANTA CRUZ DEL QUICHE,"COLEGIO MIXTO BILINGUE INTERCULTURAL ""Q´IJ""",11A. CALLE 06-03 ZONA 1,77550476,JORGE HUMBERTO MOTTA CANO,FEDERICO HERNÁNDEZ ZAPETA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,DOBLE,FIN DE SEMANA,QUICHÉ,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,QUICHE,14,
14-01-0091-46,14-006,QUICHE,SANTA CRUZ DEL QUICHE,"LICEO ""MODERNO LATINO""",3A. 1-23 ZONA 4,79514700,GASPAR VI CABA,JORGE BENEDICTO COC POP,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,QUICHÉ,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,QUICHE,14,
14-01-0108-46,14-01-0801,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO TECNICO AVANZADO,14 AVENIDA 2-24 ZONA 3,40087056,JORGE HUMBERTO MOTTA CANO,JACQUELINE ARGENTINA SOLARES MÉNDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,QUICHE,14,
14-01-0110-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,LICEO TECNOLOGICO DE OCCIDENTE LA PREPARATORIA,9A. AVENIDA ENTRE 4A. Y 5A. CALLE ZONA 2,77563645,JORGE HUMBERTO MOTTA CANO,GREYSI JESÚS CABRERA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,QUICHÉ,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,QUICHE,14,
14-01-0112-46,14-01-0805,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,"20 CALLE FINAL ZONA 4, COLONIA LOS CELAJES",77554630,JOSE ANGEL MORALES MATZAR,JUSTO RUFINO PEREIRA GONZÁLEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,QUICHE,14,
14-01-0115-46,14-01-0798,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO NORMAL MIXTO JUAN DE LEON,12 CALLE 0-36 ZONA 5,77656620,JOSÉ OSCAR TIPÁZ VELÁSQUEZ,PEDRO LUIS ROJAS SÁENZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,QUICHE,14,
