codigo,distrito,departamento,municipio,establecimiento,direccion,telefono,supervisor,director,nivel,sector,area,status,modalidad,jornada,plan,departamental,fecha_extraccion,fuente_url,nivel_consulta,sector_consulta,plan_consulta,modalidad_consulta,departamento_consulta,departamento_consulta_codigo,municipio_consulta
17-01-0035-46,17-001,PETEN,FLORES,INSTITUTO PRIVADO DE EDUCACION DIVERSIFICADA DIEGO AMERICO CETINA PACHECO,BARRIO SANTA ELENA,,LILIN MELISA HERRERA ORREGO,----,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),PETÉN,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,PETEN,17,
17-01-0038-46,,PETEN,FLORES,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA 'LA PARROQUIA' DE SECRETARIADO JN,BARRIO SANTA ELENA,,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),PETÉN,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,PETEN,17,
17-01-0039-46,17-,PETEN,FLORES,INSTITUTO NOCTURNO DE CIENCIAS COMERCIALES Y ACADEMIA ANEXA,BARRIO SANTA ELENA,,JOSE FRANCISCO OLAN PONCE,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),PETÉN,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,PETEN,17,
17-01-0058-46,17-001,PETEN,FLORES,"LICEO PETENERO EN CIENCIAS ADMINISTRATIVAS, RECURSOS NATURALES Y TURISMO",SANTA ELENA DE LA CRUZ,,LILIN MELISA HERRERA ORREGO,ERWIN AUGUSTO LÓPEZ Y LÓPEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,PETÉN,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,PETEN,17,
17-01-0064-46,17-01-1026,PETEN,FLORES,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA IXLU,54823795,BRAULIO AMILCAR CHÁN TESUCÚN,VICENTE AVELAR HERNÁNDEZ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,PETEN,17,
17-01-0065-46,17-001,PETEN,FLORES,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA SANTA ELENA DE LA CRUZ,,LILIN MELISA HERRERA ORREGO,---,DIVERSIFICADO,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,PETEN,17,
17-01-0070-46,17-001,PETEN,FLORES,"CENTRO EDUCATIVO INTEGRAL ""PAULO FREIRE""",ZONA 2,79264648,LILIN MELISA HERRERA ORREGO,EFREN PORTILLO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,PETEN,17,
17-01-0073-46,17-001,PETEN,FLORES,"LICEO INTEGRAL ""NUEVA GENERACION""","3RA. LOTIFICACION, SANTA ELENA DE LA CRUZ",58008391,LILIN MELISA HERRERA ORREGO,RODOLFO MEDINA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,PETEN,17,
17-01-0078-46,17-001,PETEN,FLORES,CENTRO EDUCATIVO MODELO,COLONIA MODELO DE SANTA ELENA DE LA CRUZ,54506610,LILIN MELISA HERRERA ORREGO,FRANCISCO VALENTIN SOZA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,PETÉN,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,PETEN,17,
17-01-0081-46,17-01-1026,PETEN,FLORES,"COLEGIO DE EDUCACION MEDIA ""SAN ISIDRO""","ALDEA IXLU, FLORES",55164373,BRAULIO AMILCAR CHÁN TESUCÚN,RUTILIA SALGUERO CASTRO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,PETÉN,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,PETEN,17,
17-01-0083-46,17-001,PETEN,FLORES,"COLEGIO INTEGRADO DE EDUCACION PROFRESIONAL DE PETEN, CIEPP",ALDEA IXLU,78215568,LILIN MELISA HERRERA ORREGO,EVELYN MIGDALIA TORALLA LOPEZ,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,PETÉN,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,PETEN,17,
17-01-0085-46,17-001,PETEN,FLORES,"LICEO PETENERO EN CIENCIAS ADMINISTRATIVAS, RECURSOS NATURALES Y TURISMO","CALLE LIMITE, FRENTE AL ORGANISMO JUDICIAL, A UN COSTADO DE LOS DERECHOS HUMANOS",79261560,LILIN MELISA HERRERA ORREGO,ERWIN AUGUSTO LOPEZ Y LOPEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,PETEN,17,
17-01-0086-46,17-001,PETEN,FLORES,"LICEO PETENERO EN CIENCIAS ADMINISTRATIVAS, RECURSOS NATURALES Y TURISMO","CALLE LIMITE, FRENTE A ORGANISMO JUDICIAL, A UN COSTADO DE LOS DERECHOS HUMANOS",79261560,LILIN MELISA HERRERA ORREGO,ERWIN AUGUSTO LOPEZ Y LOPEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,PETEN,17,
